family,axis,value,samples,accuracy,macro_f1_all_classes,locomotion_f1
hybrid_budget_0.25,transition_window,false,1666,0.7581032412965186,0.771362384552602,0.7561461794019934
hybrid_budget_0.25,transition_window,true,105,0.6476190476190476,0.4994215975475736,0.7433628318584071
hybrid_budget_0.25,center_occluded,false,1735,0.7527377521613833,0.7665201410833621,0.7553324968632371
hybrid_budget_0.25,center_occluded,true,36,0.6944444444444444,0.6702020202020202,0.75
hybrid_budget_0.25,window_any_occluded,false,1706,0.753810082063306,0.7676596761340647,0.7562062380649268
hybrid_budget_0.25,window_any_occluded,true,65,0.6923076923076923,0.6801810855562255,0.723404255319149
hybrid_budget_0.25,drone_view,drone_1,1058,0.7646502835538752,0.783658581478745,0.760914760914761
hybrid_budget_0.25,drone_view,drone_2,713,0.7321178120617111,0.7362806350633494,0.7469512195121951
hybrid_budget_0.25,part_of_day,morning,524,0.7175572519083969,0.7209392206996275,0.508833922261484
hybrid_budget_0.25,part_of_day,noon,1247,0.7658380112269446,0.7511000752892759,0.8074906367041198
hybrid_budget_0.25,scenario,1.8,227,0.7665198237885462,0.7752072048649996,0.5811965811965812
hybrid_budget_0.25,scenario,1.9,297,0.6801346801346801,0.6764342057224112,0.4578313253012048
hybrid_budget_0.25,scenario,2.1,435,0.7310344827586207,0.7371085572053975,0.7562189054726368
hybrid_budget_0.25,scenario,2.10,620,0.7709677419354839,0.7331571677394376,0.8159771754636234
hybrid_budget_0.25,scenario,2.3,192,0.828125,0.7961203909479772,0.8706896551724138
hybrid_budget_0.25,person_scale,small,938,0.7718550106609808,0.7619029790925659,0.8047337278106509
hybrid_budget_0.25,person_scale,tiny,828,0.7270531400966184,0.7382820156971593,0.6666666666666666
hybrid_budget_0.5,walking_running_subtype,not_applicable,1044,0.7040229885057471,0.5504940830531116,0.0
hybrid_budget_0.5,walking_running_subtype,running,36,0.9722222222222222,0.3286384976525822,0.9859154929577464
hybrid_budget_0.5,walking_running_subtype,walking,691,0.85383502170767,0.3070517824616185,0.9211553473848556
hybrid_budget_0.5,transition_window,false,1666,0.7743097238895558,0.7880823882715458,0.7705570291777188
hybrid_budget_0.5,transition_window,true,105,0.6666666666666666,0.518182130230323,0.7521367521367521
hybrid_budget_0.5,center_occluded,false,1735,0.7688760806916427,0.783646800199282,0.7692307692307693
hybrid_budget_0.5,center_occluded,true,36,0.7222222222222222,0.6922525503170665,0.7692307692307693
hybrid_budget_0.5,window_any_occluded,false,1706,0.7702227432590856,0.7850965178376347,0.7703045685279187
hybrid_budget_0.5,window_any_occluded,true,65,0.7076923076923077,0.6924504067361211,0.7346938775510204
hybrid_budget_0.5,drone_view,drone_1,1058,0.776937618147448,0.7954864312845972,0.7744593202883625
hybrid_budget_0.5,drone_view,drone_2,713,0.7545582047685835,0.761274158625037,0.7614678899082569
hybrid_budget_0.5,part_of_day,morning,524,0.7366412213740458,0.7379759385601466,0.5236363636363637
hybrid_budget_0.5,part_of_day,noon,1247,0.781074578989575,0.7673393285256074,0.8192592592592592
hybrid_budget_0.5,scenario,1.8,227,0.7841409691629956,0.7906249128027601,0.5964912280701754
hybrid_budget_0.5,scenario,1.9,297,0.7003367003367004,0.6947535954439189,0.4720496894409938
hybrid_budget_0.5,scenario,2.1,435,0.7494252873563219,0.7588513498837992,0.7669902912621359
hybrid_budget_0.5,scenario,2.10,620,0.782258064516129,0.742802843722619,0.8278805120910384
hybrid_budget_0.5,scenario,2.3,192,0.8489583333333334,0.8208705967775748,0.8851063829787233
hybrid_budget_0.5,person_scale,small,938,0.7942430703624733,0.787885340700015,0.8205128205128205
hybrid_budget_0.5,person_scale,tiny,828,0.7367149758454107,0.7491452578318395,0.6788685524126455
hybrid_budget_1,walking_running_subtype,not_applicable,1044,0.7183908045977011,0.5562228202827972,0.0
hybrid_budget_1,walking_running_subtype,running,36,0.9722222222222222,0.3286384976525822,0.9859154929577464
hybrid_budget_1,walking_running_subtype,walking,691,0.8393632416787264,0.3042223970626803,0.912667191188041
hybrid_budget_1,transition_window,false,1666,0.7785114045618248,0.7928704994921937,0.7722371967654986
hybrid_budget_1,transition_window,true,105,0.6476190476190476,0.5062233589087809,0.7304347826086957
hybrid_budget_1,center_occluded,false,1735,0.7729106628242075,0.788377407221413,0.7705022250476796
hybrid_budget_1,center_occluded,true,36,0.6666666666666666,0.627039627039627,0.6923076923076923
hybrid_budget_1,window_any_occluded,false,1706,0.7743259085580305,0.7899106586644443,0.7716129032258064
hybrid_budget_1,window_any_occluded,true,65,0.676923076923077,0.6596550901062179,0.6938775510204082
hybrid_budget_1,drone_view,drone_1,1058,0.774102079395085,0.793734164481835,0.7689119170984456
hybrid_budget_1,drone_view,drone_2,713,0.7657784011220197,0.7734496226356544,0.7697160883280757
hybrid_budget_1,part_of_day,morning,524,0.7480916030534351,0.743258297315855,0.5263157894736842
hybrid_budget_1,part_of_day,noon,1247,0.7802726543704892,0.7684819003062288,0.8177044261065266
hybrid_budget_1,scenario,1.8,227,0.8061674008810573,0.8075831305758313,0.6111111111111112
hybrid_budget_1,scenario,1.9,297,0.7037037037037037,0.6908804615348115,0.4683544303797468
hybrid_budget_1,scenario,2.1,435,0.7448275862068966,0.7517568290457556,0.7658536585365854
hybrid_budget_1,scenario,2.10,620,0.7887096774193548,0.7519113237963078,0.8311688311688312
hybrid_budget_1,scenario,2.3,192,0.8333333333333334,0.8107727512761836,0.8695652173913043
hybrid_budget_1,person_scale,small,938,0.7963752665245203,0.7923352193043057,0.8204613841524574
hybrid_budget_1,person_scale,tiny,828,0.7403381642512077,0.7510125979638175,0.6790540540540541
